Michael Card,Will You Not Listen?
Soraya Arnelas,Mi Mundo Sin Ti
Uncle Tupelo,Won't Forget
It Dies Today,This Ghost
Emerson Drive,Evidence
Jamie Lidell,Rope of Sand
8Ball & MJG,Lay It Down 2
Lil' Zane,M.O.N.E.Y.
DJ Bobo,Love Is All Around
Jimmy Wakely,One Has My Name (The Other Has My Heart)
Cunninlynguists,Off The Chain (Feat. J.Bully)
Oh_ Sleeper,World Without A Sun
The Velvet Underground,New Age  (Full Length Version)
Alain Bashung,Martine Boude
Norma Jean,Self Employed Chemist
Apoptygma Berzerk,Cambodia
Carnifex,Adornment Of The Sickened
Saint Etienne,Mr Donut
Squeeze,Trust Me To Open My Mouth
Tea Leaf Green,These Two Chairs
Feeder,Emily
Souls Of Mischief,Last Night
The Mountain Goats,Pure Gold
Rhapsody,Triumph For My Magic Steel
Tarkio,Candle
Merche,Mil Razones
Santana,A Dios
808 State,Nimbus
Solitude Aeturnus,Spiral Descent
Elephant Man,Who U Think U Is (Album Version)
Kimya Dawson,Time To Think
Los Pericos,Mi Tiempo
Aretha Franklin,Night Life (Live Version)
Steve Miller Band,Seasons
Peasant,Exposure
Songs:Ohia,Crab Orchard
Falling Up,Flights
Thin Lizzy,Remembering Part 1
Zumpano,The Angel With The Good News (Album)
Pieces Of A Dream,I Can Give You What You Want
The Bees,Hot One!
Serena Ryder,Sing Sing
Jennifer OConnor,Exeter_ Rhode Island
Pavement,We Are Underused
Julio Iglesias duet with Stevie Wonder,My Love (duet with Stevie Wonder)
Albert Hammond Jr,& So We Go
Depeche Mode,Sister Of Night
Beak>,Iron Acton
Kenny Wayne Shepherd Band,I'm Leaving You (Commit A Crime) (Album Version)
Faith No More,Spirit
John Michael Talbot,Father_ I Put My Life In Your Hands
Across The Sky,Masquerade (Album Version)
Breakbeat Era,Sex Change
Ziggi,Gonna Leave You
Novembre,Christal
The Creators feat. Evidence and Babu,Heart Pound
P.O.D.,Teachers (Palm Springs Demo)
Andrew W.K.,The End Of Our Lives
Creedence Clearwater Revival,What Are You Gonna Do
Ian Van Dahl,Satisfy Me
Thursday,Panic On The Streets Of Health Care City (Album Version)
Outlandish;Isam Bachiri;Lenny Martinez;Waqas Qadri,Dirty Dirty East
Kate Bush,James And The Cold Gun
Zumpano,(She's A) Full-blooded Sicilian (Album)
Ja Rule,Only Begotten Son
Hubert Sumlin,I'll Be Home On Tuesday (take 2)
Dropkick Murphys,Never Alone (Album Version)
The Jimmy Castor Bunch,Bertha Butt Boogie
Rollins Band,Wreck Age
Esbjörn Svensson Trio,Spam-Boo-Limbo
Vessels,Walking Through Walls
The Vibrators,Tired Of Living With You
Necro,Beautiful Music For You To Die To
Element Of Crime,I Started A Joke
Cedric Brooks,Ethiopia
Denver and the Mile High Orchestra,The Real Deal
Wiley,Cash In My Pocket ft Daniel Merriweather
Ian Brown,El Mundo Pequeno
The Aliens,Rox
Textures,The sun's architect
Junior Kelly featuring Chukki Starr,My Only Joy
The Ocean,Inertia
Talib Kweli,In The Mood [featuring Kanye West & Roy Ayers] (Album Version)
Bob James,Pure Imagination
Bruce Springsteen,The Last Carnival
Archie Bleyer,Hernando's Hideaway
Alejandra Guzman,Ella
Feeder,Child In You
Bedlight For Blue Eyes,Life On Life's Terms
The Feeling,Work
Jerry Cantrell,Keep The Light On
Bubba Sparxxx,New South
Sunset Rubdown,Q-Chord
Dead Meadow,Im Gone
Freddie Mercury,Love Kills (Sunshine People Radio Mix)
Anthony Cruz,Mari-Wanna
Tubelord,Your Bed Is Kind Of Frightening
Nappy Roots,Nappy Roots Day (Explicit Album Version)
I Love You But I've Chosen Darkness,Your Worst Is The Best
The Police,Nothing Achieving
The Swell Season,Lies (Live)
Hot Buttered Rum,Waiting for a Squall
The Chinese Stars,Loose Traffic
Love Of Lesbian,Universos Infinitos
Gonzalo Rubalcaba,A Night In Tunisia
Peter Green,Rattlesnake Shake
Pokolgép,A túlélo
Pinback,Trainer
Booka Shade,16 MM
California Sunshine,The Order
Peasant,Well Alright
Tamia,Poetry (Album Version)
Dirty Looks,She's a Rocker
The Ronettes,Do I Love You?
Madrugada,Only When You're Gone (Live)
Mystikal featuring O'Dell,Sleepin' With Me
Dilated Peoples,Reach Us
Chaka Demus & Pliers,Tease Me
Liz Phair,Whip-Smart
The Chameleons,Here Today
Tulku,Anni Rose
Into The Moat,Beyond Treachery
Oh No Feat. Roc C,Move
Katherine Jenkins,I Believe (with Andrea Bocelli)
The Lightning Seeds,The Life Of Riley
Marco Polo & Torae,Word Play
Efterklang,Maison de Réflexion
Tony Carreira,Fala-Lhe De Mim
Nael & Dion,Yo Solo Se
Fun Lovin' Criminals,Running For Cover
Stars Hide Fire,Still Breathing
Electric Light Orchestra,Rockaria!
Placebo,Little Mo
Friendly Fires,Skeleton Boy (Air France Remix)
Audio Adrenaline,Starting Over
Fat Boys,Louie_ Louie
Firewind,Remembered
Hammock,We Will Say Goodbye to Everyone
The Mavericks,To Be With You
Anthrax,Black Dahlia
Bill Whelan / Brian Kennedy / Ivan Goff / The Riverdance Orchestra / Proinnsias O'Duinn,Lift The Wings
Roxette,No Se Si Es Amor (It Must Have Been Love)
Mason Jennings,Memphis_ Tennessee
Pennywise,City Is Burning
Oumou Sangaré,Diaraby Nene
Ane Brun,Sleeping By The Fyris River
Consequence,Uncle Rahiem
DARTZ!,Documents
Terrorizer,Nightmare
Thompson Twins,Lucky Day
Thomas Dolby,I Scare Myself
Sesto Sento,Lost Key
Lifetime,It's Not Funny Anymore
Fountains Of Wayne,Hung Up On You
Jonny Lang,To Love Again
Blank & Jones,The Nightfly - Break Reprise
Logh,Fell Into the Well
Comiccon,Komodo
Xandria,Now & Forever
Patrick Bruel,J'Te l'Dis Quand Meme
Evergrey,Unspeakable
Serena Ryder,Stay for an Hour
No Te Va Gustar,Yrigoyen
At The Drive-In,Communication Drive-in
Junior Boys,Neon Rider
Jet Black Stare,It's Over
Nostalgia 77,New Inner City Blues
New Model Army,Brave New World (12'' Gregovich Mix)
Okkervil River,For the Enemy
Okkervil River,A Garden
Boban Markovic Orkestar,Balkan Fest
Grant Green,Love Walked In
These Animal Men,Flawed Is Beautiful
Blur,Best Days
Bananarama,More_ More_ More
Extreme,Money (In God We Trust)
Artful Dodger And Romina Johnson,Movin' Too Fast
Third Day,Come Together
Billy Idol,Lady Do Or Die
Los Prisioneros,Muevan Las Industrias
Eagle Eye Cherry,Together
Michelle Branch,I'd Rather Be In Love (Album Version)
Ariane Moffatt,Poussière D'ange
Black Sabbath,Embryo
Sole,i don't rap in bumper stickers
Ugly Kid Joe,Too Bad
Ich + Ich,Vom selben Stern
Cat Stevens,Home
Mark Hollis,A Life (1895 - 1915)
Turbonegro,Deathtime
Anahi,Hasta Que Me Conociste
Corvus Corax,Avanti
Momus,The Homosexual
Six Feet Under,Death or Glory
Mando Diao,Give Me Fire
Meshuggah,Dancers To A Discordant System
Frank The Baptist,Echoes Of Never
Aaron Shust,The Name of Jesus
Consolidated,He
Larry Lurex,Goin' Back (1973 B-Side) (2000 Digital Remaster)
The Aces,Kanka Kanka
Eric Tingstad And Nancy Rumbel,Zelda's Dance
Thomas Dolby,I Love You Goodbye
Groundation,Elders Dub
David deMaria,El perfume de la soledad
Beenie Man,Protect Me
Vader,Firebringer
The Stills,In The Beginning (Album Version)
Mistabishi,From Memory (Matrix Remix)
Les Hurlements D'leo,Fabulous and luxury holidays for todos in barbados
Biz Markie,Do Your Thang
Gama Bomb,Escape From Scarecrow Mountain
Red Hot Chili Peppers,F.U. (Live)
Rancid,Disconnected
Ash,Envy
The Soft Pink Truth,Homo-sexual
Half Japanese,Our Turn
Goldfrapp,Slippage
Skream,Percression
Zapp,Dance Floor (Part I) (Single Version)
Violent Femmes,Good Feeling (Live At Rhino_ 2002) (Hidden Track)
Karamelo Santo,Recuerdo Tu Futuro Hoy
Alex Bugnon,Midnight Train (Interlude)
C.V. Jørgensen,Louie (1998 Digital Remaster)
JayMay,Big Ben
The Charade,Monday Morning
Kansas,Everybody's My Friend
Plastilina Mosh,Pekin Jazz
Shadows Fall,Inspiration On Demand
The Love Unlimited Orchestra,Strange Games And Things
Fat Boys,Pig Feet
Ledward Kaapana,Lei' Awapuhi (Yellow Ginger Lei)
Alejandra Guzman,Quiero Estar Contigo
Mistabishi,The Light's Really Bad
Plus One,Here In My Heart
Turbostaat,Der Frosch hat's versaut
The Beach Boys,You Still Believe In Me (Highlights From Tracking Date)
The Dirtbombs,La Fin Du Monde
Plumb,In My Arms (Kaskade Extended Mix)
Siniestro Total,¿Quién Vengo Siendo? (Album Version)
Johnny Dowd,Heavenly Feast
Nerf Herder,For You
Tarkan,Arada Bir
Los Enemigos,T.T.L. (Album Version)
Joachim Garraud,the Future
DJ Laz,Who Is DJ Laz
Peter And Gordon,The Green Leaves Of Summer (The Alamo)
The Runaways,Is It Day Or Night?
Franco De Vita,Si Tú No Estás
India.Arie / Sezen Aksu,The Cure
Eric Clapton,Kind Hearted Woman Blues (Album Version)
Camera Obscura,Anti-Western
Unearth,The Charm
88 Fingers Louie,Something I Don?t Know
Fear Factory,Demolition Racer (Album Version)
Damian Marley / Daddigan,Give Dem Some Way
Miss Kittin & The Hacker,The Womb
Wayne Smith,Under Me Sleng Teng
Faith Evans,Reasons(Album Version)
Oxmo Puccino - S Kiv,Antidiplomate
Tall Dwarfs,Tip Of My Tongue
Ann Christy,Dag Vreemde Man (Cabaretversie)
Five Horse Johnson,Fly Back Home
Vibronics,Red_ Gold & Green
Willie Mabon,Seventh Son
Johnny Burnette,I've Got A Lot Of Things To Do
Lys Assia,Wenn die Glocken hell erklingen
Mates of State,Goods (LP Version)
Joe,No One Else Comes Close
DL Incognito,Keep It Movin'
Organismen,Begravningen (prod. Kids On DMT)
Big Bad Voodoo Daddy,Mambo Swing
Yo-Yo Ma;Dave Brubeck,Joy to the World
Faithless,Soundcheck Jam
The Detroit Cobras,Now You're Gone
Sean Paul,Baby Girl
The Knife,Marble House
The Cure,Out Of Mind
Michael Jackson,Wanna Be Startin' Somethin'
Mecano,Quiero Vivir En La Ciudad
Starfield,My Generation (Beauty In The Broken Album Version)
Asylum Street Spankers,You Only Love Me For My Lunchbox
Club 8,We Set Ourselves Free
Caparezza,Torna Catalessi
Intocable,El Poder De Tus Manos
Gammer,Ready To Go
Café Tacvba,El metro
Nightmares On Wax,Deep Down
Fito Paez,El Verdadero Amar
No Fun At All,Strong And Smart
Wave Machines,The Line
Halford,Fugitive
Iron Maiden,Intro (Churchill's Speech) (1998 Digital Remaster)
Biréli Lagrène,Bei dir war es immer so schön
The Zutons,You've Got A Friend In Me
Emeralds,The Cycle Of Abuse
Turbonegro,Suburban Anti-Christ (Bonus Track)
William Elliott Whitmore,Hard times
Scott Krippayne,May I Have This Dance (Autobiography Album Version)
Chimaira,Stays The Same [B-side]
Phantom Planet,One Ray Of Sunlight
The Hidden Cameras,Hump From Bending
Why?,Twenty-Eight
Ice Cube,Dirty Mack (Explicit)
Dick Dale and his Del-Tones,Banzai Washout
Oranger,Gorilla in a Rucksack
Keb' Mo',I'm A Hero
Nikos Xilouris,Ego Ime Mavros Ke Ashimos
Bruisers,Lunatic
Eric Burdon,The Dream
Lighthouse Family,Postcard From Heaven
Anberlin,Downtown Song
Dirty on Purpose,Airshow Disaster
Kylesa,Train of Thought
OTT,A Load Up At Nunney Catch
The Knife,You Make Me Like Charity
The Pogues,Planxty Noel Hill
Oxymoron,Run From Reality
Bardo Pond,RM
Skillz,Imagine
The Alan Parsons Project,Silence And I
Hird,Burn 4
Il Divo,The Power Of Love (La Fuerza Mayor)
Moby,Myopia
Coolio,Geto Highlites (LP Version)
Keren Ann,Lay Your Head Down
Joy Electric,Buttercup Fairy Jamboree
John Michael Montgomery,When Your Arms Were Around (LP Version)
The Dutchess & The Duke,I Am Just A Ghost
Santana,Luz_ Amor Y Vida
Jimmy Ruffin,Honey Come Back
Ryan Adams,Pearls On A String
Rainbow,Snake Charmer
Corinne Bailey Rae,Seasons Change (Live At Webster Hall)
Sun Kil Moon,Trucker's Atlas
Paul Di'Anno,Play That Funky Music
Seefeel,Filter Dub (1-01 Mix)
Driver Eight,Drive
Lifetime,Rodeo Clown
Raul Malo,So Beautiful
Geri Halliwell,Don't Call Me Baby
Booker T & The MG's,Be Young_ Be Foolish_ Be Happy
Tri Sestry,Bonus
Lifelover,M/s salmonella
Faster Pussycat,Please Dear (LP Version)
Fluke,Setback
Wu-Tang Clan featuring Junior Reid,Intro (Shaolin Finger Jab) / Chamber Music
Gotan Project,Tango Square
Martika,Toy Soldiers
Songs:Ohia,Captain Badass
Jel,Soft Money_ Dry Bones
Karsh Kale,Drive
Willy Mason,So Long
Joy Division,N4
Bad Religion,Overture (Album Version)
Hubert von Goisern,Volxjammer
Natalie Merchant,maggie and milly and molly and may
311,Use Of Time
Cedric IM Brooks & The Light of Saba,Sound
Air,Bathroom girl (demo version)
Freddie Cruger Aka Red Astaire,Pushin' On featuring Linn
Ruckus Roboticus,How To Handle Grown Ups
Ola Magnell,Malvina utan mörker
Wisin & Yandel / Franco "El Gorilla" / Gallego,Soy De La Calle
Pete Francis,Town On Top Of Town
Turbonegro,A Dazzling Display Of Talent
Gym Class Heroes,Kid Nothing Boy Vs. The Echo Factor (Album Version)
The Replacements,Little Mascara
Tyrone Wells,Losing Ground
Suicidal Tendencies,Send Me Your Money
Happy Birthday,Pink Strawberry Shake
Ayo,Neva Been
Five Horse Johnson,Roll With You
Marshall Crenshaw,Right There In Front of Me
Big Bad Voodoo Daddy,Ol' MacDonald
Miles Davis,The Way You Look Tonight
Salif Keita,Here
Animal Collective,The Softest Voice
Galactic,Baker's Dozen
Nik Bärtsch's Ronin,MODUL 11
Shuggie Otis,Sugar
Fun Lovin' Criminals,Crazy Train
Tito Puente,Where You At?
Steppenwolf,Move Over
Eternal Tears Of Sorrow,Baptized By The Blood Of Angels
The Cheetah Girls,I'm The One
Wagon Christ,Tomach
Fangoria,Con los angeles
Dimension 5,Purple Om
Niños Mutantes,Katherine
Dolores O'Riordan,Lunatic
DJ Khaled,Put Your Hands Up (feat. Young Jeezy_ Rick Ross_ Plies & Schife)
The Isley Brothers,If You Ever Need Somebody
La Monja Enana,Me Enamoré De Un Robot
Seguridad Social,El Ritmo Del Corazon
Old Man's Child,Passage To Pandemonium
Rakim,Remember That
Public Image Ltd,Chant
Jurassic 5,Get It Together
Disturbed,Just Stop [Live At The Riviera]
Fountains Of Wayne,Someone To Love
Element Eighty,The Itch
Richard Thompson,Don't Tempt Me
Tasmin Archer,In Your Care
Perpetual Groove,For Now Forget
The Swell Season,What Happens When The Heart Just Stops (Live)
De Saloon,Ultraline
Astral Projection,Infinite Justice
Scums,Heal the World
Aretha Franklin,Hark! The Herald Angels Sing
Mustafa Sandal,Bir Anda
Filo & Peri Ft. Eric Lumiere,Anthem
Anti-Flag,Good And Ready
Ayo,These Days
The Jim Jones Revue,Another Daze
Avishai Cohen Trio,Eleven Wives
Grand Archives,George Kaminski (Album)
Eric Burdon,Ride On
The Electric Hellfire Club,Psychedelic Sacrifice
Ellen Allien,Down
Baroness,Bullhead's Psalm
The Derek Trucks Band,Back Where I Started
George Benson,Midnight Love Affair (LP Version)
Natalie Merchant,It Makes A Change
Markus Gardeweg,Fairplay
Blitzen Trapper,Hot Tip/Tough Cub (Album)
The Datsuns,MF From Hell
Strangefolk,Invisible
Herman's Hermits,Dont Go Out Into The Rain
Devics,Lie To Me
Alison Krauss / Union Station,I'm Alone Again
The Vibrators,You Broke My Heart
Ali Farka Toure_ Toumani Diabate,Ai Ga Bani
Sick Puppies,Survive
Andrew Bird,Sectionate City
Sia,Cares At The Door
Enter Shikari,Gap In The Fence
Michael Jackson,Twenty Five Miles
Ryan Adams,How Do You Keep Love Alive
The Prodigy,Android
Jan Garbarek_ The Hilliard Ensemble,Virgo flagellatur (Anonymus)
Big Audio Dynamite,I Don't Know
Zbigniew Preisner,Finale
Bright Eyes,The Vanishing Act
Chavela Vargas,La Noche De Mi Amor
Year Long Disaster,It Ain't Luck
Fionn Regan,Genocide Matinee
Keny Arkana,Faut Qu'on S'en Sorte
Tesla,2 Late 4 Love
Uncle Tupelo,Slate (Album Version)
Marshall Crenshaw,Glad Goodbye
Kiss,Room Service
Magazine,About The Weather
Jil Is Lucky,Hovering Machine
Entwine,Say Goodbye
Van Halen,Hot For Teacher (Remastered Album Version)
Arthur Fiedler;Earl Wild,An American in Paris
Habib Koite,N'tesse
PsyCraft,Feel The Vibe
Generation X,Kleenex (BBC In Concert 11/05/78)
Brian Regan,Crank Calls
Steve Angello & Sebastian Ingrosso,Partouze
Felipe Dylon,Em Outra Direcao
Plasmatics,Just Like On TV
April Wine,Just Between You And Me
The Smiths,Money Changes Everything
Chad & Jeremy,If I Loved You
Fluke,Groovy Feeling (Toni Bell's Single Scoop)
Kenny Dope Presents The Bucketheads,The Bomb (These Sounds Fall Into My Mind) (Radio Edit)
Genesis,Shepherd (BBC Nightride 1970)
Zeus,You Gotta' Teller
Newton Faulkner,So Much
Caspian,...Reprise
Amon Amarth,Thor Arise
Scorpions,Lust Or Love
Ryan Adams,Rip Off
The Corrs,Moorlough Shore [Album Version]
Amon Amarth,The Dragons' Flight Across The Waves
Kate Bush,Moving
California Sunshine,avalanche
In-Grid,Chanson d'Amour
Bobby McFerrin,Friends
The Used,Hard To Say (Album Version)
Lunachicks,Insomnia
Petra,Pacto De Amor (Jekyll & Hyde En Espanol Album Version)
Roky Erickson,Bermuda
Pearl Jam,Dirty Frank
Goldfrapp,Human
Babyshambles,I Wish (Mik's Vocal Version)
Androcell,Dub Crickets
Boys Noize,Wu-Tang (Battery PT.2)
Imperia,Mirror
Buffalo Springfield,Questions (LP Version)
Hidrogenesse,Pajaritos Y Pajarracos
Mogwai,I Chose Horses
Elbow,scattered black and whites
Bijou,Les Gens Parlent
Teriyaki Boyz,Heartbreaker
Beak>,Dundry Hill
The Giant Leap,All the Reasons
Aztec Camera,Walk Out To Winter
The Brian Jonestown Massacre,Reign On
Silk,Let's Make Love (LP Version)
Jonatha Brooke,Where Were You? (Album Version)
The Wildhearts,Plastic Jebus
Emily Jane White,Red Dress
Necro,Evil Rules
Mustafa Sandal,Gönlünü Gün Edeni
Jonathan Richman,Affection (Album Version)
Adam Faith,Someone's Taken Maria Away
Cocteau Twins,Ups
Joe Smooth,Promised Land
Antibalas,El Machete
Steve Hackett,Tubehead
At The Drive-In,Metronome Arthritis
Santana,Look Up (To See What's Coming Down)
Andrew Vasquez,Eagle's Journey
Silverchair,Abuse Me
Bauhaus,Hair Of The Dog
Enigma,In The Shadow_ In The Light
The Zutons,Nightmare Part II
Devics,Moments
Return To Forever,The Game Maker
American Hi-Fi,Happy
Mulatu Astatke,Mulatu
Stargarden,Ghosts of Ocean Gardens
Röyksopp,Happy Up Here
Newsong,Hero Of The Faith
Kimya Dawson,For Katie
Maze/Frankie Beverly,Love Is (Album Version)
Guaco,Maria La Bollera
DJ Taz,That's Right (Edited)
Paperclip People,Oscillator
Mind Da Gap,Dedicatória
India.Arie,Outro:  Grains
Bad Brains,House Of Suffering
Equilibrium,Wigrid
Fastball,Red Light (Album Version)
A Place to Bury Strangers,Don't Think Lover
The Afghan Whigs,Debonair
Padded Cell,Far Beneath London
Good Riddance,Cheyenne
Blur,Clover Over Dover
The Byrds,C.T.A. - 102
Slick Rick / Redman / Nas / Ed Lover / DJ Rev Run,Jail Skit
The Smithereens,Mr. Eliminator
Sporto Kantès,Liquid
Guru's Jazzmatazz,Connection (feat. Kem)
Ludacris,Cry Babies (Oh No)
Inti Illimani,Alturas
Bad Brains,Jah Love
Necro,Edge Play
Evergreen Terrace,The Smell of Summer
Okkervil River,Lady Liberty
Ragheb Alama,Argouk Abaad
Lackluster,Hiatus
Basslovers United,Get Back
The Vibrators,The Kid's A Mess
Arab On Radar,Capt Mouth
Everclear,Your Arizona Room (Explicit)
Imperia,The Birth Of...
Akron/Family,They Will Appear
Melocos,Es Por Ti
Get Busy Committee,Hurting Me So Much
Element Of Crime,Alle Vier Minuten
Finch,Without You Here
Pavement,Summer Babe (Winter Version)
Ska-P,Insecto Urbano
Ishq,Aphrodite
Missy Higgins,They Weren't There (Australian Version)
Fionn Regan,The Cowshed
!!!,Break In Case Of Anything
Mara Tremblay,D'un côté ou de l'autre
Uncle Tupelo,Coalminers
Intocable,Llévame Contigo
L-Kan,Me lo paso bien
Flaminio Maphia,Quelli Che
Porter Wagoner & Dolly Parton,Making Plans
Pennywise,18 Soldiers
Yppah,The Drag
Frank The Baptist,Cryptkicker
Mau Mau,La Via Salata
Rufus Wainwright,What Are You Doing New Year's Eve
California Sunshine,The Future Now
Tubelord,Night Of The Pencils
Gob,Pinto
West Indian Girl,Visions
Tiger Army,Towards Destiny
Chris Carrier,Gosse De Paris (Long Mix)
Sebadoh,Soulmate
Looptroop,Carneval
Beastie Boys,The Sounds Of Science
Madina Lake,Morning Sadness (LP Version)
Paper Route,Be Healed
Adie,Where Could I Go
Falling Up,Helicopters
The Locust,Solar Panel Asses
Kraftwerk,La Forme (2009 Digital Remaster)
Morgan Page,Strange Condition (Inpetto Radio Edit)
John Hartford,Indian War Whoop
Yes,Open Your Eyes
Foghat,Boogie Motel
Serena Ryder,This Wheel's On Fire
Pennywise,Knocked Down
Reik,Vuelve A Mi
Electronica,Don't Stop the Music
Helmet,Driving Nowhere
Incognito,There Will Come A Day
Jimi Hendrix,Auld Lang Syne
Five Horse Johnson,Mississippi King
Buckethead,Electric Tears
Ministry,What About Us? (Album Version)
Porcupine Tree,Footprints
Jump_ Little Children,Words Of Wisdom
James Booker,Pop's Dilemma (Album Version)
Thirteen Senses,Follow Me
Reckless Love,One More Time
I:Scintilla,Translate
Anjali,Nebula
Silverchair,Wasted / Fix Me
Morbid Angel,World Of Shit (The Promised Land)
Plies,Becky (Amended Album Version)
Lil Wyte,U.S. Soldier Boy (Featuring Three 6 Mafia) (Dragged & Chopped Remix)
John Fogerty,Deja Vu (All Over Again)
Buckcherry,Talk To Me (Explicit)
Soziedad Alkoholika,Padre Black & Decker
New Trolls,Davanti agli occhi miei
Gazpacho,Pierdete
Fightstar,Minerva
Cam'Ron,Soap Opera
Mylo featuring Freeform Five,Muscle Car
Cazuza,Vida Louca Vida
Taste,Eat My Words
Tommy Lee,Sunday
Blue October,Independently Happy
Terror,Crush What's Weak
Wyclef Jean,Perfect Gentleman
The Yardbirds,Think About It (Top Gear)
Junior Kimbrough,Baby Please Don't Leave Me (Live)
SONATA ARCTICA,Don't say a word
Buffalo Springfield,Sit Down I Think I Love You (LP Version)
Billy Idol,Don't Need A Gun
Alex Beaupain,Inventaire
The Cardigans,Last Song
Mamonas Assassinas,Pelados Em Santos
Ektomorf,Rat War
Conflict,Big A Little A
Tune-Yards,Fiya
Arthur & Yu,Birds
Talib Kweli / Res,We Got The Beat
Jennifer Paige,Underestimated
Frank Klepacki,Dusk Hour
Slut,Teardrops (Dance Version)
Jimmy Fallon,Troll Doll Celebrities
The Slackers,Tales Of The Mongoose
Elliott Brood,Johnny Rooke
Perpetual Groove,Long Past Settled In
Ronan Hardiman,Dance Of Love
Frankie Valli & The 4 Seasons,Silver Star
Easy Star All-Stars,Dubbing Up The Walls
Johan,Life On Mars
K7,Let's Bang (LP Version)
The Hollies,Open Up Your Eyes (1998 Digital Remaster)
Riot,Dream Away
Textures,Storm warning
Peter Tosh,Vampire (2002 Digital Remaster)
Slayer,Verbal Abuse/Leeches
Wolfmother,Far Away
Peaches,Cum Undun
Wilco,A Shot In The Arm (LP Version)
Evergrey,Obedience
The Fleshtones,Ride Your Pony
Los Campesinos!,Drop It Doe Eyes
Floetry,Fun
Avishai Cohen Trio,Puncha Puncha
Vessels,Altered Beast
The Runaways,Take It Or Leave It
The Jacksons,Can You Feel It
Lee Perry And The Upsetters,Dub The Rhythm
Jennifer Lopez,Toma De Mí
Hayseed Dixie,Dirty Deeds Done Dirt Cheap
California Sunshine,Summer 89 2010
An Albatross,The Man Eating Pig Of Madidi
The Moldy Peaches,Jorge Regula
Ministry,My Possession (LP Version)
Kamchatka,Astrobucks
Chet Baker,Fine And Dandy
Baden Powell & filhos,Samba Novo
Basil Poledouris,Theology / Civilization
Peter Tosh,Bush Doctor (2002 Digital Remaster)
Hayseed Dixie,This Fire
Finn Brothers,Part Of Me_ Part Of You
Tantric,Chasing After (Album Version)
Skinny Puppy,Jahya
Kaizers Orchestra,Knekker Deg Til Sist
Kate Bush,Oh To Be In Love
Serj Tankian,Sky Is Over [Fawk Yeah Remix] (EP Version)
Busted,Why
Deerhoof,Sealed With a Kiss
Element Eighty,Texas Cries
Sierra,Perfect Love
Velvet Revolver,Illegal i Song
Pale Saints,Sight Of You
XIU XIU,Pox
Anata,Entropy Within
Jedi Mind Tricks,Death Falls Silent (Interlude)
Annett Louisan,Er gehörte mal mir
Toy-Box,Tarzan & Jane
Evergreen Terrace,Behind My Back
Dolores O'Riordan,Human Spirit
J.J. Cale,Low Rider
Alejandro Escovedo,Put You Down
SA Rawls / Still Flyin' / Still Flyin',The Hot Chord Is Stuck
Luis Alberto Spinetta,Lago De Forma Mia
Missy Elliott,Is This Our Last Time (Amended Album Version)  [Featuring Fabolous]
Equilibrium,Met
Joe Satriani,Lords Of Karma
Stabbing Westward,Waking Up Beside You
Chiens De Paille,Les bonnes consciences
Cary Hudson,Little Darlin'
Action Action,Oh_ My Dear It's Just Chemical Frustration (Album Version)
Metalium,Demons Of Insanity
Dick Dale,Let's Go Trippin'
Charlie Patton,Poor Me
Kraak & Smaak,Danse Macabre
Leftover Crack,Interlude
The Stills,Everything I Build
The Promise Ring,Jersey Shore
Evergrey,End of your days
Papas Fritas,TV Movies
The Grouch,Dragonfly
Country Joe & The Fish,Death Sound Blues
Yo La Tengo,Damage
Modern Lovers,Someone i care about
Habib Koite,NTeri
DJ Khaled,Ball (feat. Jim Jones & Schife)
Modern Lovers,Don't let our youth go to waste
Aneta Langerova,Skvelej Napad
Curtis Mayfield,Beautiful Brother Of Mine
Sally Shapiro,Hold Me So Tight
The Exploited,Sexual Favours
Tachyon L7A,Escape
Teddy Pendergrass,Now Tell Me That You Love Me
Johnny Kidd & The Pirates,Then I Got Everything
Trisomie 21,Shadows army
Raul Malo,Every Little Thing About You
Paddock Park,I'll Swing My Fists
Spitalfield,The Only Thing That Matters (Album Version)
The Perishers,When I Fall
The Maytals,Pressure Drop
Screwed Up Click,Pull Up To The Club - Screwed (feat. A-2_ DBO & Xavion)
Fat Freddy's Drop,Willow Tree (live)
Ismaël Lo,Néné
Ariel Pink's Haunted Graffiti,Oceans of Weep
Discount,Waiting by the Wayside
California Sunshine,Green Sky
Cracker,Another Song About The Rain
Luomo,Really Don't Mind - Album Version
Sneaker Pimps,Cute Sushi Lunches
Bebe Winans,My Christmas Prayer
Mississippi Sheiks,Jail Bird Love Song
RJD2,Beyond The Beyond (Instrumental)
Bebel Gilberto,Aganju (John Beltran Mix)
Hello Saferide,Lund
They Might Be Giants,Experimental Film
The Rapiers,Still I Cry
Meshuggah,Dehumanization
Kalmah,Outremer
Compay Segundo,Vicenta
Zumpano,Snowflakes & Heartaches (Album)
Whiskeytown,Theme For A Trucker
Most Precious Blood,Narcoleptic Sleepwalker
Eric Darius,Because Of You
Foghat,What A Shame ( LP Version )
Psapp,Tricycle
Alibi,Eternity
datA,One in a million
Spencer & Hill,Trespasser
Simon & Garfunkel,Leaves That Are Green
Beck,Thunderpeel
The Expos,A Flower For Tara
Titus Andronicus,Albert Camus
Sugarland,Steve Earle
Mansun,Naked Twister
Electrelane,Five
Pitch Black,Lost in translation
Antimatter,The Art Of A Soft Landing
Consequence feat. Gangsta L. Crisis and Really Doe,Disperse
Anberlin,Haight St
